scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
CONS_BF_USEREST,813,400.41082410824106,0.0,3244.5999999999985,8090.0,2.4718573559942882,5.83200833570143,2569.0012300123003,0.8950420159678445,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
SRPT_ORACLE,813,122.85116851168512,0.0,406.1999999999982,12739.0,1.0146345190607533,1.075520009838024,2291.441574415744,0.9668776719405794,0.4345635878514466,295,lanl,6,1024,1251,0,0.4402075737847222
PROACTIVE,813,281.14268142681425,0.0,1551.3999999999955,12924.0,2.0476147241494407,3.047821043910515,2449.7330873308733,0.9513166191166919,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
PROACTIVE_EST,813,322.1894218942189,0.0,1457.9999999999995,23675.0,2.258518163161171,2.9066666666666627,2490.779827798278,0.9578008014943096,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
FCFS,1064,736.9896616541354,0.0,3647.1499999999965,29881.0,3.576832297685924,11.259311299251044,3430.6296992481202,0.9160536865886368,0.6235197823408107,0,lanl,7,1024,1425,0,0.6313195529513889
FIFO_STRICT,1064,3698.2744360902257,898.0,15976.7,20590.0,17.89899716265185,88.11892857142855,6391.914473684211,0.6924342843296679,0.6233152900542227,0,lanl,7,1024,1425,0,0.6313195529513889
SJF_ORACLE,1064,1100.5375939849623,0.0,3101.9999999999873,310154.0,4.415146795259777,5.513101262303255,3794.1776315789475,0.9645555819843414,0.6188164524758439,0,lanl,7,1024,1425,0,0.6313195529513889
SJF_USEREST,1064,689.9511278195489,0.0,3620.6499999999955,25797.0,3.134355513260451,8.877497455675181,3383.591165413534,0.9214334195198011,0.6228121124980304,0,lanl,7,1024,1425,0,0.6313195529513889
HRRN_USEREST,1064,749.7612781954887,0.0,4134.949999999993,25797.0,3.4728445407812454,10.173729946524054,3443.4013157894738,0.9111784836295058,0.6228121124980304,0,lanl,7,1024,1425,0,0.6313195529513889
SMALLEST_FIRST,1064,779.3778195488721,0.0,4227.249999999998,25797.0,3.646612752299377,11.593643707482958,3473.0178571428573,0.9166289944646049,0.6228121124980304,0,lanl,7,1024,1425,0,0.6313195529513889
EASY_USEREST,1064,1428.6748120300751,0.0,8639.999999999998,21927.0,6.362692826400267,28.545416666666654,4122.31484962406,0.8253248367512779,0.6235454424124229,0,lanl,7,1024,1425,0,0.6313195529513889
EASY_ORACLE,1064,1409.9736842105262,0.0,8122.599999999993,20945.0,5.181947300704106,24.78664008506111,4103.613721804511,0.8182460650824508,0.6235454424124229,0,lanl,7,1024,1425,0,0.6313195529513889
CONS_BF_USEREST,1064,2026.156015037594,0.0,10211.25,24407.0,8.036799512780574,35.5164018952062,4719.796052631579,0.7814976413494459,0.6235454424124229,0,lanl,7,1024,1425,0,0.6313195529513889
