trace,reference,scheduler,metric,mean_wait_sched,mean_wait_ref,mean_diff,pct_vs_ref,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm,mean_bounded_slowdown_sched,mean_bounded_slowdown_ref
sdsc,EASY_USEREST,SJF_USEREST,mean_bounded_slowdown,,,-27.762806282271676,-65.37728853118904,-0.7617484642707048,0.0029596574284752484,0.000209808349609375,0.022395676458542974,0.001468658447265625,14.702714858188425,42.4655211404601
sdsc,EASY_USEREST,SMALLEST_FIRST,mean_bounded_slowdown,,,-23.474927069952315,-55.27996934808834,-0.6864576369375105,0.006303348887644503,0.0003223419189453125,0.0232479794923512,0.001934051513671875,18.990594070507786,42.4655211404601
sdsc,EASY_USEREST,SRPT_ORACLE,mean_bounded_slowdown,,,-41.35896697794981,-97.39422917041283,-1.0820212914331253,0.00011403266243353769,1.9073486328125e-06,0.001140326624335377,2.09808349609375e-05,1.1065541625102855,42.4655211404601
lanl,PROACTIVE,CONS_BF_USEREST,mean_wait,6815.033337057475,2229.3240321438557,4585.70930491362,205.69954115210965,0.4861201528871094,0.04254975736280157,1.9073486328125e-06,0.29784830153961095,2.09808349609375e-05,,
lanl,PROACTIVE,EASY_ORACLE,mean_wait,2758.8470633726306,2229.3240321438557,529.5230312287745,23.75262741502645,0.42254790289175903,0.07415623774560563,0.00485992431640625,0.3318791640749681,0.019439697265625,,
lanl,PROACTIVE,EASY_USEREST,mean_wait,4810.48605801774,2229.3240321438557,2581.162025873886,115.78227250309956,0.5421573879434745,0.02546573338330024,1.9073486328125e-06,0.24898696109640173,2.09808349609375e-05,,
lanl,PROACTIVE,FCFS,mean_wait,2329.1482761330662,2229.3240321438557,99.82424398920998,4.47778082279106,0.1615010077898902,0.4789340681812972,0.6476554870605469,0.9578681363625944,1.0,,
lanl,PROACTIVE,FIFO_STRICT,mean_wait,12343.719541058064,2229.3240321438557,10114.395508914207,453.6978637056893,0.5148320313004565,0.03279095923732486,1.9073486328125e-06,0.2623276738985989,2.09808349609375e-05,,
lanl,PROACTIVE,HRRN_USEREST,mean_wait,1771.8124708686748,2229.3240321438557,-457.5115612751812,-20.522434364788587,-0.43552859644445663,0.06637583281499362,0.000209808349609375,0.3318791640749681,0.00125885009765625,,
lanl,PROACTIVE,PROACTIVE_EST,mean_wait,2219.442479504783,2229.3240321438557,-9.881552639072776,-0.4432533134077447,-0.01941675795187842,0.9317117673576027,0.7841262817382812,0.9578681363625944,1.0,,
