mean_wait,max_wait,p95_wait,mean_turnaround,mean_bounded_slowdown,throughput,fairness_gini,gpu_util,preemptions,pred_wait_mae,run,scheduler
14.8,147.0,67.55,27.59090909090909,1.8520097949006615,0.36666666666666664,0.7845432209068572,0.6840625,27,,6,SRPT
14.445454545454545,51.0,43.0,27.1,2.416247579585252,0.36666666666666664,0.5727043881228904,0.6458333333333334,0,,7,FIFO
22.818181818181817,53.0,48.64999999999999,35.472727272727276,3.172037820319905,0.36666666666666664,0.35042375950742494,0.6458333333333334,0,,7,FIFO_STRICT
10.418181818181818,153.0,60.55,23.072727272727274,1.6571023597145886,0.36666666666666664,0.8008884658099318,0.6458333333333334,0,,7,SJF
11.136363636363637,183.0,52.69999999999996,23.79090909090909,1.7770304473101404,0.36666666666666664,0.8103376623376624,0.6458333333333334,0,,7,SJF_EST
15.3,140.0,80.04999999999997,27.954545454545453,2.569910625267718,0.36666666666666664,0.7784529789877384,0.6458333333333334,0,,7,PRIORITY
13.336363636363636,61.0,40.64999999999999,25.990909090909092,2.1719207836992105,0.36666666666666664,0.5055772448410485,0.6458333333333334,0,,7,HRRN
13.536363636363637,143.0,88.19999999999999,26.19090909090909,2.2364785719331173,0.36666666666666664,0.8168935832468404,0.6458333333333334,0,,7,SMALLEST
13.536363636363637,143.0,88.19999999999999,26.19090909090909,2.2364785719331173,0.36666666666666664,0.8168935832468404,0.6458333333333334,0,15.393622832018247,7,PROACTIVE
13.536363636363637,143.0,88.19999999999999,26.19090909090909,2.2364785719331173,0.36666666666666664,0.8168935832468404,0.6458333333333334,0,15.79829640229223,7,NN
16.763636363636362,47.0,40.0,29.418181818181818,2.635345825992815,0.36666666666666664,0.4556103332676001,0.6458333333333334,0,,7,BACKFILL
17.036363636363635,52.0,44.55,29.69090909090909,2.642421800062526,0.36666666666666664,0.4526632385757252,0.6458333333333334,0,,7,BACKFILL_EST
19.29090909090909,47.0,44.0,31.945454545454545,2.8359003255945976,0.36666666666666664,0.38118413160825976,0.6458333333333334,0,,7,CONS_BF
17.054545454545455,52.0,44.099999999999994,29.70909090909091,2.6944577747673724,0.36666666666666664,0.4629191703818569,0.6458333333333334,0,8.792579775152262,7,PROACTIVE_BF
11.7,150.0,74.94999999999997,24.354545454545455,1.6463997609561214,0.36666666666666664,0.8066468884650704,0.6630208333333333,46,,7,SRPT
19.545454545454547,57.0,53.0,32.4,2.8362823944279754,0.36666666666666664,0.4948414376321353,0.6542708333333334,0,,8,FIFO
28.90909090909091,61.0,58.0,41.763636363636365,3.6558355299827294,0.36666666666666664,0.34379073756432244,0.6542708333333334,0,,8,FIFO_STRICT
13.454545454545455,151.0,82.64999999999999,26.30909090909091,1.830613198174062,0.36666666666666664,0.7881818181818182,0.6542708333333334,0,,8,SJF
13.054545454545455,173.0,72.94999999999992,25.90909090909091,1.890447012294395,0.36666666666666664,0.7832742466447202,0.6542708333333334,0,,8,SJF_EST
17.918181818181818,128.0,65.64999999999999,30.772727272727273,2.575073858694391,0.36666666666666664,0.6934228126008948,0.6542708333333334,0,,8,PRIORITY
16.681818181818183,71.0,53.099999999999994,29.536363636363635,2.325613750870576,0.36666666666666664,0.5091057716125836,0.6542708333333334,0,,8,HRRN
17.945454545454545,160.0,97.0,30.8,2.7821119135969257,0.36666666666666664,0.79029197752602,0.6542708333333334,0,,8,SMALLEST
17.745454545454546,158.0,96.1,30.6,2.7784846926301334,0.36666666666666664,0.7884873323397913,0.6542708333333334,0,17.705703459104353,8,PROACTIVE
17.945454545454545,160.0,97.0,30.8,2.7821119135969257,0.36666666666666664,0.79029197752602,0.6542708333333334,0,18.70428877229874,8,NN
22.327272727272728,60.0,56.55,35.18181818181818,3.0933047629888324,0.36666666666666664,0.44552117263843644,0.6542708333333334,0,,8,BACKFILL
22.263636363636362,62.0,54.55,35.11818181818182,3.09339578350942,0.36666666666666664,0.4593600356360667,0.6542708333333334,0,,8,BACKFILL_EST
25.118181818181817,57.0,53.55,37.972727272727276,3.3102505872024595,0.36666666666666664,0.37073339255749677,0.6542708333333334,0,,8,CONS_BF
21.427272727272726,61.0,56.55,34.28181818181818,3.0248131967400895,0.36666666666666664,0.4834689705712192,0.6542708333333334,0,11.401438878015192,8,PROACTIVE_BF
14.39090909090909,161.0,76.55,27.245454545454546,1.7974256863941636,0.36666666666666664,0.804783782231666,0.6691666666666667,34,,8,SRPT
14.681818181818182,42.0,39.0,26.754545454545454,2.369663146841588,0.36666666666666664,0.4642668167745567,0.6292708333333333,0,,9,FIFO
24.427272727272726,48.0,44.099999999999994,36.5,3.3341635451595337,0.36666666666666664,0.2292891700781541,0.6292708333333333,0,,9,FIFO_STRICT
11.245454545454546,142.0,54.599999999999966,23.318181818181817,1.7476507497021851,0.36666666666666664,0.7654369074740941,0.6292708333333333,0,,9,SJF
11.8,155.0,63.29999999999998,23.87272727272727,1.8385116923996045,0.36666666666666664,0.7886258579633002,0.6292708333333333,0,,9,SJF_EST
15.254545454545454,129.0,65.19999999999999,27.327272727272728,2.5349779097516922,0.36666666666666664,0.7181276411312167,0.6292708333333333,0,,9,PRIORITY
14.054545454545455,49.0,37.55,26.12727272727273,2.1837075582734182,0.36666666666666664,0.4610843231800541,0.6292708333333333,0,,9,HRRN
14.263636363636364,165.0,63.55,26.336363636363636,2.2949347470554904,0.36666666666666664,0.8076423894779535,0.6292708333333333,0,,9,SMALLEST
14.263636363636364,165.0,63.55,26.336363636363636,2.2949347470554904,0.36666666666666664,0.8076423894779535,0.6292708333333333,0,15.23399232365191,9,PROACTIVE
14.263636363636364,165.0,63.55,26.336363636363636,2.2949347470554904,0.36666666666666664,0.8076423894779535,0.6292708333333333,0,15.488139623930227,9,NN
16.681818181818183,43.0,38.0,28.754545454545454,2.6067076718431204,0.36666666666666664,0.37333168194203614,0.6292708333333333,0,,9,BACKFILL
17.60909090909091,40.0,36.099999999999994,29.681818181818183,2.6548121529704,0.36666666666666664,0.3129722626366922,0.6292708333333333,0,,9,BACKFILL_EST
19.636363636363637,42.0,37.099999999999994,31.70909090909091,2.8543449425531464,0.36666666666666664,0.255909090909091,0.6292708333333333,0,,9,CONS_BF
17.09090909090909,43.0,37.0,29.163636363636364,2.6556651772641775,0.36666666666666664,0.37964216634429404,0.6292708333333333,0,8.115666031786663,9,PROACTIVE_BF
12.036363636363637,172.0,59.599999999999966,24.10909090909091,1.6872903483841422,0.36666666666666664,0.8100659159571546,0.6465625,38,,9,SRPT
18.37272727272727,73.0,60.0,30.80909090909091,2.7961489980998144,0.36666666666666664,0.540879852458279,0.6389583333333333,0,,10,FIFO
29.336363636363636,60.0,58.0,41.77272727272727,3.814841983117736,0.36666666666666664,0.3956475195086908,0.6389583333333333,0,,10,FIFO_STRICT
13.472727272727273,164.0,69.1,25.90909090909091,1.9526705338396162,0.36666666666666664,0.7696847012636486,0.6389583333333333,0,,10,SJF
14.309090909090909,166.0,78.64999999999999,26.745454545454546,2.1162564885703783,0.36666666666666664,0.7808478687767124,0.6389583333333333,0,,10,SJF_EST
16.927272727272726,136.0,89.04999999999997,29.363636363636363,2.56919891972805,0.36666666666666664,0.7640660091787911,0.6389583333333333,0,,10,PRIORITY
15.909090909090908,95.0,55.55,28.345454545454544,2.4099192148112074,0.36666666666666664,0.5926337662337663,0.6389583333333333,0,,10,HRRN
16.754545454545454,123.0,85.0,29.19090909090909,2.511471339508913,0.36666666666666664,0.7695999605386474,0.6389583333333333,0,,10,SMALLEST
16.663636363636364,113.0,84.0,29.1,2.508242295825324,0.36666666666666664,0.7654565292863166,0.6389583333333333,0,16.46992346954278,10,PROACTIVE
16.754545454545454,123.0,85.0,29.19090909090909,2.511471339508913,0.36666666666666664,0.7695999605386474,0.6389583333333333,0,17.273502555609962,10,NN
18.98181818181818,60.0,58.0,31.418181818181818,2.9042372329643653,0.36666666666666664,0.5649686520376175,0.6389583333333333,0,,10,BACKFILL
20.2,59.0,57.55,32.63636363636363,3.0045097120332835,0.36666666666666664,0.540283119221013,0.6389583333333333,0,,10,BACKFILL_EST
23.827272727272728,54.0,52.0,36.263636363636365,3.230608054812248,0.36666666666666664,0.43117130866081643,0.6389583333333333,0,,10,CONS_BF
19.69090909090909,62.0,59.55,32.127272727272725,2.9761071680766302,0.36666666666666664,0.5531436246117687,0.6389583333333333,0,11.467396084117619,10,PROACTIVE_BF
15.036363636363637,171.0,76.64999999999999,27.472727272727273,1.9211334944412624,0.36666666666666664,0.7928767725623832,0.658125,48,,10,SRPT
7.172727272727273,37.0,29.19999999999999,19.836363636363636,1.6895500595426713,0.36666666666666664,0.6059569074778199,0.5840625,0,,11,FIFO
11.3,35.0,31.0,23.963636363636365,2.1195794451272216,0.36666666666666664,0.43460103854311416,0.5840625,0,,11,FIFO_STRICT
6.1,48.0,33.19999999999999,18.763636363636362,1.435282009090762,0.36666666666666664,0.736038477171115,0.5840625,0,,11,SJF
6.072727272727272,63.0,30.549999999999997,18.736363636363638,1.4691552937243197,0.36666666666666664,0.7734893848666303,0.5840625,0,,11,SJF_EST
6.872727272727273,62.0,35.099999999999994,19.536363636363635,1.6099642145701814,0.36666666666666664,0.7241221741221741,0.5840625,0,,11,PRIORITY
6.790909090909091,42.0,19.549999999999997,19.454545454545453,1.5858894614548285,0.36666666666666664,0.5709748083242059,0.5840625,0,,11,HRRN
7.172727272727273,55.0,40.099999999999994,19.836363636363636,1.674005084417412,0.36666666666666664,0.7742942735338173,0.5840625,0,,11,SMALLEST
